start	end	text
0	4040	guys. So in this lecture, we're going to learn about the 930 AM trading
4040	7880	strategy. Bear in mind, it works the best with indices. For example,
7880	13240	mass 100 SMP 500. Okay, it does work with forex as well. But I would
13240	18000	recommend that you stick to indices with this trading strategy. Okay. So first
18000	22040	of all, you want to change your time zone to New York. Okay. And then you
22080	38360	want to trade. You can only trade between 930 AM till 1159 AM New
38360	43480	York time. Okay. So this is your window period. Okay, you can only
43480	46560	trade within these hours. So this is the very first rule of the
46560	53880	trading strategy. Okay. The second rule is you want to identify some sort of
53880	61080	liquidity. Okay. So you want to identify some sort of liquidity between these
61080	71760	hours. Okay. And or you can start looking for some sort of liquidity at 925 AM.
71840	79440	Okay. You can take trades after 930. Okay. So let's say if okay, I'm going to
79440	82520	explain it later. But you want the rule number two is you want to identify some
82520	91320	sort of liquidity. Okay. And the rule number three is you want you want to
91320	98640	wait for price to sweep that liquidity. Okay. So you want to wait for price to
98640	103200	take out the liquidity. Okay. That you have identified. Once you're once the
103200	110560	price. Oh man. Once the price sweeps out the liquidity, you want to wait for you
110600	117600	then wait for market structure shift. Okay. Once price takes out the liquidity,
117640	123920	then you then wait for market structure shift. And you now there are two ways to
123920	133120	enter. Okay. You can either take the entry from the first fair value gap. Or you
133120	143240	take your entry from the extreme fair value gap. So what I mean by that is let's
143240	151880	say this is liquidity, right? Before. So this is the 930 open, right? This is
151880	157320	where let's say, for example, okay, the 930 time starts from here. And you have
157320	163360	this liquidity zone equal highs, you know, day off the high, it could be any sort
163360	169160	of liquidity. Okay. So it could be equal highs. It could be a major swing high or
169160	173960	a swing low. It could be a daily high daily low or previous day high previous
173960	179760	day low. It could be a weekly high a weekly low. So any sort of liquidity. Okay.
180200	186400	And then you wait for price to sweep the liquidity. Okay. And on the once the
186400	190320	price sweeps the liquidity or actually when you spot the liquidity, you want to
190320	194320	go down to the one minute time frame. So you are looking for liquidity on a 15
194320	199920	minute timeframe. Okay, bear, keep this in mind. You have to look for liquidity on a
199920	206200	15 minute timeframe, 15. Okay. And once you have spotted the liquidity and the 930
206240	209560	starts, you go to the one minute timeframe, you wait for price to sweep up the
209560	214240	liquidity. And then on the one minute timeframe, this is how the price is
214240	217600	going to look like, right? Price sweeps the liquidity. And then you wait for
217600	221840	market structure shift. So this right here is a market structure shift. As you
221840	226720	can see, now, before the price breaks this structure, there would be some fair
226720	231720	value gap here, here and the extreme one here. So you can either take your entry
231720	235880	from the very first fair value gap. Okay. But you're gonna keep your stop
235880	240360	loss up there. So and there's another option that is your take your entry from
240360	244160	the extreme fair value gap. Now, what would happen with this is if you take
244160	248120	your entry from the extreme fair value gap, you're gonna get a higher risk to
248120	252840	reward trade. Okay. But if you take your entry from, let's say the very first
252840	257720	fair value gap, you're gonna have a bigger stop loss. But you're not gonna miss a
257720	261040	trade. Okay. So sometimes if you have if you have your entry at the very extreme
261040	265920	fair value gap, you're gonna miss out the trade. So I would say that straight
265920	270160	with the extreme fair value gap, because you know, it's okay to sometimes miss
270160	274920	the trade, as long as you're getting the trades with big risk reward trades, and
274920	278560	it's gonna cover up the missed trades, if that makes sense. So here's the thing.
278560	281520	When the price sweeps the liquidity, you want to wait for market structure shift,
281520	286800	and then you enter at the fair value gap, and you target, you know, some sort of
286800	291680	fair value gap here, or I go by this rule, when I take my entry and I have my
291680	296720	stop loss, I go for minimum risk to reward three, and I can go for maximum
296720	301120	five risk reward. This is all I go for. Okay. I do not chase big risk reward
301120	305600	trades, because, you know, there's so much going on the world right now, and I do
305600	312160	not want to hold my trades for a longer duration. So yes, we have then you can
312160	315040	either take the entry from the first failure gap, or you could take your entry
315040	318720	from the extreme failure gap. So I'm gonna give you guys some examples, and it's
318720	322000	gonna be crystal clear to you guys.
