start	end	text
0	8240	Alright guys, so here is the last example and example number two for the daily bias.
8240	13560	So I'm looking at US Swiss and you can see that we have taken out this external liquidity
13560	14560	here.
14560	19160	So if I play this through, you can see that our draw on liquidity.
19160	21640	Where is it?
21640	24840	Can you notice where it's going to be a drawn liquidity?
24840	28320	It's right here, this Fair Valley gap around here.
28320	30400	So this is going to be a drawn liquidity.
30400	35440	Let's go to the hourly time from remember for the daily, we go from daily to hourly
35440	37480	and then to five minutes.
37480	43520	So right here, what do you see we have a shift in the market structure happening right here.
43520	44520	Cool.
44520	46240	Now where is the Fair Valley gap?
46240	51840	The Fair Valley gap is right here, that should be your bread and butter entry model.
51840	56080	So let's see price goes up to that level.
56080	58760	Guys, goes into this Fair Valley gap.
58760	63080	So that could have been your entry, we are not going to talk about the five minute time
63080	65680	from at the moment, but later on the video.
65680	69800	So don't worry later on the course, okay, so don't worry.
69800	74560	Your stop goes here and your take profit just goes here.
74560	79120	So let's see how this plays out.
79120	86880	This goes ahead, it fills in this inefficiency and right away, we have a retake profit level
86880	88680	hit.
88680	94280	So now that you have known about monthly, weekly and daily bias and external and internal
94280	99360	liquidity, remember I always personally go from external to internal.
99360	105200	You can try messing around with internal to external, but I wouldn't recommend it, okay.
105200	109040	So that was pretty much it for this chapter.
109040	116440	Let's move on to the next topic and that is going to be a game changer as well.
116440	117120	See you guys.
