start	end	text
0	5860	Alright guys, so here is the example number two for this strategy.
5860	11500	So I'm looking at Euro GBP on 4-hour of course, and you can see we are making lower low, lower
11500	20400	high, lower low, actually no, lower low, lower high, and then another lower low, and the internal
20400	23680	market structure been creating lower low, lower highs for quite some time now.
23680	31040	So it is clear that the auto flow is bearish, I'm not going back here, I'm just looking
31040	36880	at the price here, okay, and as you can see we are making lower lows, lower lows, lower
36880	39560	highs, lower lows, lower highs, cool.
39560	46640	So now what we do have is this auto block, okay, of course this is hindsight, but you're
46640	55040	going to notice these, okay, so this is the candle and price goes back into our PUI, so
55040	65040	let's drop down to 15 minute time for them, and you can see that just over here we have
65040	71360	a shift in market structure, but notice what happened, the market structure shift did not
71360	84560	happen during kills on ours, okay, so the kills on ours are basically two, till, I got
86080	96080	seven, it's my bad, right, and then 7.30, 11.30.
96080	104240	For this specific strategy only, okay, 2am, till 7, that is your London, and then from
104240	109840	7.30 till 11.30 is your New York session, make sure you set your time zone to New York.
109840	117440	So now we're going to wait, okay, we are going to wait till this high is taken out again,
117440	123600	because this is liquidy now, when you have a market structure shift outside the kills
124480	130800	and the kills on ours start, which happens right here, you don't want to look for market
130800	135600	structure shift here, you want to wait for first press take out this high over here,
135600	140480	and then you want to look for a clean market structure shift, and that happens right here,
140480	147520	and let me show you how, we also took out this high here, okay, so that is a clear shift,
147520	153680	lower low, higher high, higher low, higher high, and then we have a market structure shift
153680	160080	during kills on ours, perfect, now this right here are our consecutive bullish candles,
160080	166320	and also look at this breaker block, it is in alignment with the auto block, and this
166320	171360	consecutive bullish candles becomes your auto block, right, so you're going to take your entry,
172320	178240	here, put your stop right above this high over here, and you go for one to two,
180080	189840	simple as that, let's go and see how this plays out, as you can see we got our entry right here at 645,
192000	198320	and you can see we hit our take profit, if we held that would have been a beautiful trade,
198400	206000	but we only go for one to two, so I hope you learned something from this example, remember if,
208480	215440	let's say that this candle did not take out the high here, and then you had a shift over here,
216240	222800	that is a low probability, low probability market structure shift, I want this clean
222800	229040	liquidity sweep, and then displacement, that gives us market structure shift, something like
229040	238240	boom, boom, boom, okay, this is prime, you have a liquidity sweep, right, and then your market
238240	244880	structure shift, and this leg has consecutive candles of the same color, so if I was looking at
244880	251920	here, I would love to see bullish candles take out this liquidity, and then a market structure
251920	260960	shift, and I take my entry from here, kaboom, so I really, really do hope that you learned
260960	272640	something from this strategy, and from this example, I'll give you guys one more example,
