start	end	text
0	7240	All right guys, so here is an example for the weekly bias. I'm looking at AUDUSD on the weekly time frame of course
7520	13000	So right here you can see price took out the extended liquidity, which is a high over here
13400	18400	Where is the fair valley gap? The fair valley gap is right around here. Is it in the?
19920	27240	Discount it is not so what you can do when the fair valley gap is not in the discount you can use the fib
28200	30200	right
30200	37560	From the freewhelly gap starting candle to the ending candle and the 0.5 level is gonna be your drawn liquidity
39840	46800	Cool so that the 0.5 level of this freewhelly gap is gonna be a drawn liquidy because if you draw a refer bonacci from bottom to top
46880	48880	You can see that
49320	52440	Okay, actually the 0.5 level is here. So
53360	56000	This right here could be our target right there
57240	58920	draw on liquidity
58920	64640	Okay, so now let's since we have taken out extended liquidity. Let's go to
65360	69800	Actually, I would only look to target this level because that is the fair valley gap
70000	74920	So I don't want to like, you know hold risk for my bias or for my entry
75080	80960	You just got to play like that. So we took out the external liquidity on the weekly. Let's drop down remember from weekly
80960	82960	we go to the for our time frame and
83800	84960	And
84960	90240	Over here, what do you see? We took out the extended liquidity here now?
90240	93160	We're simply waiting for a market structure shift. So what do we get here?
93160	96240	We have a higher high higher low and a higher high
96840	102000	Annotated by the indicator and that in this indicator is a game changer. Okay, so right here
102360	106040	What we see we have this freck the low here and
106680	111400	Price took out the low. So now what do we have here once we take out the low?
111960	120120	We have this very valley gap and we also have this auto block this bullish candle that took out liquidity here, right?
121280	124400	so right here this could have been your entry and
126400	134320	Simply you could have gone for stop over here and the original target which was somewhere around here, right?
135560	137240	Let me see
137280	142280	What was the original starting point of the fairly gap? Okay, this is right here cool
143480	147240	So right here, you can see we got our entry and let's see how this plays out
149480	154080	Beautiful and also you can see the the 0.5 level was also hit
155160	156600	so
156600	163640	Yeah, that's pretty much it guys for the weekly bus. However, as I've said before you could have looked for multiple entries
164360	166360	by using the
166360	172520	Smaller top frame which would have been the 15 minute time frame and but I'll get to that later in the video
172520	174520	So don't worry about it. Okay
175800	183280	But this right here is a bread and butter model button. Oh my god, I can't pronounce burger bread and butter model guys
183560	186720	Okay, you can only have two time frames and look for this
187240	188400	but
188400	194440	Generally, I would be honest with you. I like the three time frames and as I said before I'm gonna teach you that
194440	200160	Later on in the course. So let's move on to the daily example now
