start	end	text
0	8000	Alright guys, so in this video, we are going to learn about premium and discount zones.
8000	11080	What is a premium and a discount zone?
11080	19480	So I am going to give you an example, let's say that you want to buy a house, right?
19480	24160	And the prices are very high, okay?
24160	30360	But you know that the prices are going to be lower in the future.
30360	36300	So are you going to buy the house at a very high price or you're going to wait for price
36300	41000	to lower down and then you buy?
41000	47080	Of course, you're going to wait for price to lower so that you can buy it at a discount,
47080	48960	if that makes sense.
48960	58400	Similarly, whenever we want to go long, alright, we should always be buying at a discounted
58400	60400	zone.
60400	65840	Now how do we find a discounted or a premium zone?
65840	70160	Now let me give you an example for premium zone, alright?
70160	78480	So let's say that you bought a house at a very low price.
78480	85040	Now you want to sell it, of course you are going to sell it for a higher price, okay?
85040	89680	You don't want to sell it at a lower price because that's going to, you know, it won't
89680	91280	be profitable for you.
91280	96440	So that's why when you are going to sell your house, you are going to sell it at a higher
96440	97440	price.
97440	102720	Similarly, when you are about to short, when you're about to take a short position, you
102720	108400	should be waiting for the price to come up at a premium level so that you can sell it
108400	110360	if that makes sense, alright?
110360	115040	You want the price to be higher in order for you to be selling it.
115040	120400	So first of all, let me give you an example for a discounted zone, alright?
120400	124240	So as you can see, price went up right up to this level, alright?
124240	133240	So you can see price made a very huge move from this point to this point, alright?
133240	136040	From this to this.
136040	139600	Now, are you going to buy here?
139600	141200	Absolutely not.
141200	146000	If you are a trader, you should know that you should never be buying at around this
146000	148000	level, okay?
148000	150760	You should always be buying at a pullback, okay?
150760	156880	So how do we determine a discounted zone?
156880	161800	Well, what you want to do is you want to pull out your Fibonacci tool, alright?
161800	165480	You go to the settings here, choose Fib retracement.
165480	175120	You want to start from the very low of that push to the very top of that push, alright?
175120	182560	And then you want to, first of all, you want to copy these settings, alright?
182560	189520	You can pause the video right here and you want to copy these settings.
189520	198080	Now when the price is below the 50% level, then the price is considered to be in a discounted
198080	199440	area.
199440	208080	I will repeat when the price, as you can see, when the price is below the 50% Fibonacci
208080	214720	area, then the price is considered to be in a discounted zone.
214720	219200	That is where you should be buying, alright?
219200	225560	Now I will not tell you how to exactly enter in this video, but this is what I am telling
225560	226560	you, alright?
226560	231960	Just for the sake of this video that you should always be buying when the price falls
231960	235240	into the discounted zone, alright?
235240	241320	So as you can see, price pushed up from this point to this point, you should not be buying
241320	243800	here or here or here, right?
243800	248320	You should be waiting for price to fall down into the discounted zone, which is below the
248320	256760	50% as you can see, and then this is the best area to be buying, okay?
256760	260760	Let's talk about premium zones.
260760	270040	So as you can see, we made a move from this level to this level, alright, we dropped down
270040	273440	heavily from this point to this point.
273440	279960	So similarly, we are going to draw our Fibonacci retracement tool from the very high of that
279960	288640	move, from the start of that move, sorry, to the end of that move, which ends here, okay?
288640	292720	Now you don't want to sell here, you don't want to sell here, you don't want to sell
292720	294160	here.
294160	297880	You should be waiting for price to come back into the premium zone.
297880	299520	Now what is premium zone?
299520	308440	Whenever price falls or goes, sorry, not falls, but whenever price goes into the premium zone,
308440	315440	which is above 50%, alright, so whenever price goes above the 50%, then that price is considered
315440	318400	to be in a premium zone.
318400	320600	Now what does that mean?
320600	326720	It means that this is a great area for you to be selling, okay?
326720	333120	Now you don't want to just blindly sell off when price falls into the, you know, falls
333120	339720	above the 50% or below the 50%, there are certain criteria that we should be discussing
339720	344240	in the upcoming videos, but for now, all you want to know is what are discounted and premium
344240	345680	zones, alright?
345680	352920	So for price to be considered in a premium area, you should be waiting for the price
352920	359200	to go above the 50% level of the Fibonacci, alright?
359200	363000	So now this area is the best HV selling.
363000	370600	So if you sold here, alright, you could have made a great profit, like this could be one
370600	375680	to two risk reward, but of course, this is hindsight, but this is what I'm telling you,
375680	376680	alright?
376680	382160	You should always be selling at the premium zone and you should always be buying at a
382160	384040	discounted zone.
384040	391240	So I really hope that this video is clear and I really hope that you know what is premium
391240	393240	and discounted zones.
393240	401200	So we are slowly moving towards our main strategies, but there are one or two more videos before
401200	405920	we move to those beautiful life changing videos, guys.
405920	407960	So I'll see you guys in the next video.
