start	end	text
0	4800	All right guys, so this is going to be the last lecture of this course update
5440	9020	There will be plenty of course updates in the future
9020	15680	Um, I will also be teaching you guys the ICT 2323 mentorship when it's out
15680	19280	I'm gonna watch all of that content and I'm gonna upload it here
21400	28680	Like the important and like the things that actually matter and I'll it will skip all the talking and you don't have to be watching like
28680	31520	The long videos that I see these are gonna put out
32040	37680	but in this last final lecture, we're going to learn about Asian
39360	44160	Session strategy version 2.0
45280	46480	so
46480	48320	You want to use
48320	53520	FX and Asian session rage just as the old one, right?
54240	55640	so
55640	57640	what you want to look for is
57640	64200	Asian session, right? So simply you will you're gonna have Asian session like this and
69560	77080	Bill look for P.O.I.s below the Asian low and above the Asian high
78160	82840	So this does not require daily bias or market structure or whatever
83520	85760	so let's assume that
88640	96360	Whoops, that was terrible
98160	104120	Okay, so let's assume you have a POI right here, which could be an autoblock
104800	106800	okay, and
108320	113280	Once the Asian session is over which is going to be I believe
114120	116120	to
117200	119200	Am New York time
122160	127840	Right and the indicator is going to show you when the session is over so after that
129680	134000	When the session is over you want to see price go to that POI
134800	142160	So essentially you're looking at 15 minute first 15 minute, right? You mark at the PI or POI on 15 minute
142160	148520	And when the price reaches your POI you drop down to one minute time frame look for market structure shift
148600	154480	Take your entry from family gap break a block BPR family gap whatever we want to use and
155480	157480	Kaboom
158680	161280	It's that simple guys and similarly
162920	167080	Let me remove this and this if you have
167080	171880	Wow, terrible again
177520	179520	Okay, so
181520	188920	Wait a minute you have an autoblock here right on the 15 minute time frame make sure it's the first candle of the
188920	192800	Fair Valley gap we're gonna use that type of autoblock in this strategy, okay
193760	197280	And not like the ones like the way we use an autoflow
197800	203600	so simply once the Asian is over you wait for price to just drop down into your POI and
204280	210600	Drop down then you want to drop down to one minute look for market structure shift take your entry and boom
212280	214280	Very simple, okay
214960	217360	And unlike the Asian session
218240	221800	version 1.0 you can look for entry
222800	228240	Or you know price and come into your POI during the London session as well
229040	236320	Okay, so in the old strategy we had to look for shift in market structure during the lunch hour, okay?
236760	238760	but this
239120	243440	Version 2 can work in the London session as well the starting hours of London session
243440	250560	Okay, the starting hours of London session price comes into your POI you get marks to shift with displacement entry and boom
250560	253280	So I'm gonna give you guys a couple of examples
