start	end	text
0	2240	All right, guys, so here is example number two.
2240	4300	So basically, there are some other things
4300	6520	that wanna throw it out.
6520	11040	So when you are extremely bullish or bearish,
11040	16040	every auto blog, or I would say demand zone
17080	22200	could be a POI, and you can look for confirmation entries
22200	25000	from those POIs.
25000	27760	So for example, right here, you can see we are bullish
27760	28600	right here.
28640	33640	We're looking at GBPUSD, and there is this auto blog
33680	36480	right here, right?
39000	41040	And the thing that I was talking about,
41040	45080	how to combine DXY with this strategy.
45080	50080	So when you have a institutional support level
52660	57660	or auto blog here and price comes back into this auto blog,
58760	62500	when price comes back to this auto blog on GBPUSD,
62500	67500	you go to DXY and see if price
67500	72500	is also at the resistance level of some sort, okay?
73240	78240	So as you know, the DXY chart is inverse to this.
78480	83480	So if GBPUSD is going up, DXY is gonna go down.
83760	85160	Simple, right?
85160	90160	But around here, when price reaches this auto blog,
92400	97400	and on DXY, price at the same time, okay?
97960	101680	Not at the same time, but if it's at the resistance level,
101680	102520	right?
102520	105200	Let's assume that this is DXY and this is auto blog,
106240	110600	and price is here at the auto blog, right?
110600	114320	And also on GBPUSD, price is at the support level
114320	119320	or bullish auto blog, right?
120040	124000	Then that is a confluence that you can use.
124000	127640	So in other words, in simple words,
128920	133920	GBPUSD slash EuroUSD slash AUDZ.
136760	141160	If they are at some OB
142160	147160	and at this, if one of these are at some OB
153160	158160	and at the same time, DXY is at some OB as well.
161600	164700	So OB could be a resistance or support level.
164700	167680	So generally, auto blogs are support and resistance levels,
167680	168520	okay?
168520	171040	So that's why I'm calling them support and resistance.
171080	176080	So let's assume that GBP and EuroUSD,
176280	181280	both of them hit the auto blog right here, okay?
184800	188960	Or I would say that GBPUSD hits the auto blog,
188960	191520	EuroUSD does not hit the auto blog,
191520	196520	and DXY also is at some sort of resistance level, right?
196840	199000	Then you should trade a GBPUSD.
199960	203680	If EuroUSD hits the auto blog, right?
203680	207920	And GBPUSD and AUDUSD do not hit the auto blog,
207920	210040	which is right here, do not touch the auto blog.
210040	214680	And at the same time, DXY is at the resistance level,
214680	217760	it is touching the resistance or an auto blog here,
217760	220760	which could be actually this, my bad, right?
223320	225680	Then you wanna trade EuroUSD.
225680	227960	I know this is sounding a little bit complicated,
227960	229880	but it is not if you really focus on that,
229880	231880	what I'm trying to say.
231880	235720	And let's say that GBUSD and EuroUSD both
235720	238120	are not touching the auto blog,
238120	241040	and they are somewhere around here, right?
241040	246040	And AUDUSD has already touched this auto blog,
246400	249040	and at the same time, DXY is also at some sort
249040	253120	of resistance level, then that, my friend,
253120	256240	is the sign that you should be trading AUDUSD.
258280	260040	I hope that is clear, guys.
260040	262880	So let me show you how this works.
262880	266840	So we know that we are bullish, right?
268600	273360	Price going up, we have this auto blog right here.
273360	277040	So I dropped down to 15 minute time for him.
277040	279440	Look for a shift in market structure.
280720	283800	There you go, we have a market structure shift,
283800	286780	and this right here, okay, so here's another thing.
288080	289880	On the fourth time for when you're looking
289880	292040	to identify your POI,
292040	297040	you should mark out consecutive bearish candles, okay?
298200	302160	Most of the time, if there are like so many bearish candles,
302160	305440	right, just mark out the last candle,
305440	309520	or the one above it, from above it, okay?
309520	312960	But when you are looking for entries on 15 minute,
312960	314760	you should always take your entry
314760	317400	from the very last bearish candle
317440	320320	before the move to the upside that broke the structure.
320320	323440	So let's wait for price to come back into our POI,
323440	324780	into our entry zone.
327480	332320	Kaboom, that is our entry during London session.
332320	334840	So that is a plus point.
334840	338800	Put our stop right below this level, target one to two,
338800	340380	and I go back home.
342560	346040	And there you go, perfect, perfect move.
346040	348840	But you can see you can hold, it really depends on you guys.
348840	351040	I only look for one to two as I've said before
351040	353320	in my videos multiple times.
353320	357640	So yeah guys, I hope you guys understood
357640	359040	what I try to teach.
360120	363040	If you did not, feel free to ask questions,
363040	365240	and I'll try to answer them in my Discord server.
