start	end	text
0	6380	So, here is example number one and I posted this on my Twitter and you can see that over
6380	9360	here we get a market structure shift, right?
9360	14060	And then we have this autoblock, very clean autoblock, most of you would say that, okay,
14060	19580	this is a very clean autoblock or a demand zone or whatever.
19580	24900	But notice what happens here, price sweeps the low here, even though we had a market structure
24900	29540	shift, we had this low as an inducement, we had this low, right?
29540	31060	We had a fair value gap.
31060	33820	Everything was saying, okay, go along.
33820	34820	But what happened?
34820	39820	Look, it just came back to the zero point, it swept the low, reclaimed, retest and it
39820	40820	took out this high.
40820	42420	So very, very easy trade.
