start	end	text
0	4000	Alright guys, so here is an example number one for the holy grail model
4800	10160	Notice that I didn't show you the examples from the high time frames, but I'm going to use the high time frame combination here
10640	13840	So from monthly we're going to go to the daily time frame and from daily
13840	16720	We're going to go to one hour time frame to look for our entries
17280	20000	like similarly you can go from daily to one hour to
20560	26080	Five minute and from weekly you can go from from weekly to four hour to 15 minutes
26560	33760	And for daily as I said before from daily to hourly to five minute and from four hour to 15 minute to one minute
33920	36480	I wouldn't say one minute. Just go with two minutes. That is
37280	43680	Actually reliable than one minute. So what do we have? We have taken out the external liquidity right on the monthly on gbpsd
44240	51360	We have this fairly gap in the discount, right? Sorry in the premium here. So that is going to be our drawn liquidity
51360	56480	So price takes out this let's go to the daily time frame and see what happens
57200	59680	So price takes out the liquidity here now
59680	62560	We want to look for a market structure shift on the daily time frame
63040	67840	And we have the market structure shift on the daily time from here. Look at this fractal high here
68080	69920	We have a candle to the left, right?
69920	75840	Which is shorter than this this candle and then we have the candle to the right which is also shorter than this high
76480	83680	So that is our fractal high price breaks that structure right giving us a market structure shift now looking back here
84000	85680	where is the
85680	87680	PD area in the discount
88000	92960	This fair valley gap right here, right? There's no clean auto block nothing just this fair valley gap
93280	101040	So we mark out the fair valley gap and remember when you are on the higher time frames like four hour daily weekly and monthly
101520	104480	You want to use the 0.5 level off the fib energy
104960	108320	Sorry off this gap of this fairly gap, right?
108480	113040	You don't want to be looking for confirmation entries when price taps into it straight away
113280	117120	Just wait for price to come into 0.5 level. Okay, so
118080	121840	drawing the fib for on the fbg you can see we have
127040	129680	This is the 0.5 level. Let me delete the fib
132000	134000	Damn right there. So
134800	140640	Let's go here. So now once price is into our PD area. We want to mark out the range high, which is this, right?
141840	148400	So we're going to mark out this here and this is from where we're going to scout out the one hour market maker model
148480	152480	Right. We want to look for a market maker model starting from this move down
152800	154800	Right because this is the last move
155200	160400	When before price went to this PD area, right? So we want to look for a
162000	164720	one hour market maker model, right?
164800	168480	So price is into the 0.5 level here at the moment
169360	176160	Before that we want to identify the consolidation phases. So right away where you can see is you have this consolidation phase right there
177680	179680	Then we have the accumulation phase two
179680	183440	So basically the first consolidation is called consolidation
183600	187920	The second consolidation is called accumulation one and the third
188400	190400	consolidation is called
190400	196240	Accumulation number two right accumulation could just be a pullback right and
196720	199120	It would be considered a consolidation
199120	205360	But for the first consolidation you have to look for a decent size or decent consolidation something like that, right?
206240	208800	It doesn't have to be like a big consolidation just
209360	213120	Train your eyes to just identify consolidation. This is a clean consolidation
213120	218000	You can see we have these highs here then we have this lows here right here, right?
218240	223840	So price is like going nowhere. We went up down up. That's it. And then we have push up
224400	228880	Push down, right? We have accumulation down accumulation down
229440	230960	Into our PD area, right?
230960	235680	So now what we want to do is we want to look for a shift in the market structure on the one hour time frame
236640	240400	Remember we're going from monthly to daily to one hour. So right here
240640	244720	What do we have? We have a shift in market structure and we have this clean auto block
244800	251360	Remember bearish candles continuous bearish candles. So now from here, we're going to go long right there
252080	256080	We're going to put our stop right below the slope and we are going to target
257040	259760	The consolidation high which is right here
261840	264640	Giving us 10.7 something rich to reward
265600	272480	So most importantly our entry is during London three right at three. So let's see how this plays out
286560	288560	So it consolidates for a bit
289200	291200	We
291200	293200	Have a continuation purge here
293760	301440	Right, but our target is fixed and right there we have our take profit hit for 110. So let me teach you something else
302800	305200	Use your Fibonacci from this range high
306240	308240	to this range low
308400	315520	So every single PD array after market structure shift is going to be respected every single auto block below the 0.5 level
315920	319440	Once price is above the 0.5 level the chances decrease, right?
319760	324640	So you want to get in before price goes above 0.5 level and
325120	329440	I mean i'm not saying that price goes above the 0.5 level then comes back and you cannot take the trade
329520	334800	Yes, it is possible when price goes above 0.5 level and then comes back into discount. You can look for entries
335760	339040	But you cannot buy above the 0.5 level. That's what i'm saying
339760	341600	so
341680	342880	Over here
342880	346400	You can see we have hit the take profit. We had this breaker block here
347520	348240	and
348240	353360	Price respected this breaker block here then came back here and filled in
354480	357680	This tiny little fairly gap here, right if you can see it
358160	364560	And we also took out this so that was continuation at around eight. So remember I said mostly the continations
365120	369120	Purges happened during from eight to ten thirty, right?
369680	374720	So we have a continuation purge right here and the abcd remember
375680	379920	I mean, it's not necessary to get the abcd. You just want to see a purge on the liquidity, right?
381520	383200	and
383200	389360	That's actually pretty much it. You can see we came into the breaker block and then we had our take profit level hit
389760	390560	so
390560	391360	um
391360	395840	Very simple guys. You just have to identify the consolidation phases and you will be good
396320	400480	Okay, and you will you can easily pass your charge with one trade if you get a proper setup
400960	402960	So let's move on to the next example
