start	end	text
0	7120	hello guys welcome to the video number three of this course in this video we are going to learn
7120	16240	about market structure break and market structure shift now what is market structure break let's
16240	24640	suppose that we are in an uptrend right so let me pull out this spot too so let's say we are in an
24640	32240	uptrend right now you can see that the price is making higher high high low higher high high low
33120	40960	when price makes another higher high then it is considered to be a market structure break
41760	48560	okay the continuation the continuation of a trend is called market structure break
49200	56560	now how do we know that the trend is going to continue we look for market structure break which
56560	66080	is when price creates a new higher high and then price creates a new high low creates another higher
66080	73520	high breaking the previous structure so you can see that we are creating higher high high low higher
74000	82800	high low higher high high low and then higher high this higher high broke the previous high so
83440	94000	it means that it should be considered as market structure break let's learn that in a bearish
94000	103040	market condition so it's clear so let me remove that similarly one price is creating lower low
103760	111360	lower high lower low lower high you want to look for market structure break and how do we
111360	118560	identify a market structure break is when price creates another lower low like that now this is
118560	133200	considered to be a market structure break okay as you can see price broke this leg broke the previous
133600	142160	lower low and created another lower low now this is considered to be a market structure break
144240	149520	very simple guys so now let's learn about market structure shift
152880	159600	what is market structure shift let's suppose that we are in a bullish trend so we are creating
159600	173600	high high low high high low high high high high high high but then if you want to identify a
173600	184800	market structure shift you would wait for price to break the previous low okay so we got the higher
185440	196640	high low high high high high high high high high high then we got the lower high if that makes sense
196640	205760	because it broke this structure which means that the market structure has shifted from a bullish
205760	214400	trend to a bearish trend okay so very simple guys when price breaks the previous low
215120	220080	then that price action is considered to be a market structure shift
222480	227760	let's repeat i will repeat that again so you can see that we are continuously making higher
227760	235920	highs high lows higher high high low higher high once the new higher high is made we can then look
235920	244160	for market structure shift after the new high is made we would then look for a market structure
244160	252400	shift which would be when price breaks the previous low the low that was created the low
252400	261440	that was created after in the before a new high i hope that is clear let's give let me give you an
261440	269840	example for a bearish to bullish market so let's suppose that we are in a whoops my bad let's
269840	278960	suppose that we are in a bearish market okay so we continuously making lower low lower high lower
278960	287520	low lower high lower low when the new lower low is made and if you want to and if you are looking
287520	295040	for market structure shift then we would wait for price to break the previous lower high okay
295120	304160	so we made lower low lower high lower low lower high lower low and then what we would wait for
304160	315360	is for price to break the previous high okay so as you can see after the new lower low was made
315360	323280	we then wait for price to break the previous low which would be this now this is considered to be
323280	333280	a market structure shift for a bearish example so i really hope that by now it should be clear
333280	341760	that what is market structure break and what what is a market structure shift okay very simple
341760	348720	when market shifts basically it means that their trend has shifted and by market structure break
348720	355360	it means that their trend is going to continue so keep these concepts in your mind and i'll
355360	359120	see you guys in the next video
