start	end	text
0	7800	Alright, so I just found the example, so you can see we have the Fair Valley gap here.
7800	12800	And price created this high inside the Fair Valley gap.
12800	19160	And we also have this Fair Valley gap.
19160	22600	Price came into this Fair Valley gap, right created this low here.
22600	24400	So what happens then?
24400	28880	Price takes out the high that was formed inside the Fair Valley gap.
28880	35920	And then it goes to the low that was formed inside the Fair Valley gap.
35920	43240	So this is like, I think one of the best ways to find your daily buys or actually you can
43240	50400	use it as a trading model itself, but I wouldn't suggest it.
50400	56820	So over here you can also see that we have another Fair Valley gap, right?
56820	60060	And this high was formed inside this Fair Valley gap.
60060	62500	So price takes out the high.
62500	70660	And then you can see that we have this Fair Valley gap as well, right?
70660	75820	And this low was formed inside the Fair Valley gap right here.
75820	81340	So price takes out the high that was formed inside this Fair Valley gap.
81340	88740	And then it goes towards the low that was formed inside this tiny Fair Valley gap.
88740	94780	So you can use it as I say before to find your daily buys or a model itself.
94780	99940	So I hope by now it is clear and just wanted to make a very short video about this because
99940	105260	this is very easy and it is very, very effective.
105260	108020	Remember it only works with Fair Valley gaps.
109020	116660	And also one thing to note is that let's say price comes into the Fair Valley gap, right?
116660	121820	And as soon as it comes and creates a high and then the high gets purged, then you don't
121820	126180	have to look for anything that Fair Valley gaps becomes invalid.
126180	130220	Only one high is allowed in one Fair Valley gap.
130220	134820	If there are two highs that Fair Valley gap is invalid, okay?
134820	140660	So for example, this is another high that is created inside this Fair Valley gap, right?
140660	142620	And it took out the first high.
142620	145940	Now I will not be looking at this because the job is done here.
145940	151740	So I will move on and look to find another setup.
151740	157740	If there's one high like this, then that liquidity pool is valid.
157740	160340	So yeah, that's what I wanted to tell you.
160340	162340	So let's move on to next chapter.
