start	end	text
0	3760	Alright guys, so here's another example. You can see that we were creating
5680	10480	Lorelo, LoreHi, Lorelo, LoreHi, and then we created this last Lorelo.
11360	18960	During the launch break, as you can see, the London session was over. Sorry, the Asian session
19600	25040	was over at this candle, right? So this next candle, it just swept the low
25920	35280	of the Asian session, and then we had a market structure shift, which is right here,
35280	39840	or change of character, whatever you want to call it. And then we were left with this
39840	45840	imbalance and autoblock, so let me mark this out. As you can see, we marked this autoblock out,
45840	52240	and this was a perfect, and I mean perfect entry. Our store plus would probably go here,
52240	60640	below this low, or around here, and as usual, we will target the high of the Asian
62560	69840	range, and as you can see, this was a 6.22 restore wall trade, and as you can see, how perfectly
69840	76720	price reverses then. So this is the best place to take your profits, and let me give you a few more
76720	80480	examples before we move on to the next strategy.
