start	end	text
0	4620	Okay guys, so here's another example and I'm gonna teach you a few more things in this video. So first of all
6120	10980	You want to mark out when when you're looking for these type of setups, you want to mark out the
11520	15440	New York midnight open. So the midnight midnight open is at around
16400	19620	12 a.m. New York time. So if I look at the
20240	22240	Open of this is the 10941
22800	26780	So this is the open right this candle. So I'm gonna mark this out as
27720	29720	Here midnight open
30000	32000	Okay, I'm gonna put it at the top
32520	38200	Perfect. I'm gonna decrease the size of it midnight open right and you want to mark out the
39340	41500	After midnight open you want to start?
42480	45080	Identifying the high of the day and the low of the day. So
46200	50880	The high of the day as as you can see this is the highest point after 12 am right?
50880	56480	So this is the high of the day. This is the highest point. So I'm gonna mark this high edge
57000	59000	high okay, and
60560	66720	You want to look for you can only look for the highs and lows before 9 30 once the 9 30 p. It starts
67600	72960	You don't want to look for you just you can only look for highs and lows before 9 30, okay?
73280	74640	so
74640	81720	As you can see we have a candle close at 9 30. So this is the actually the low of the day, okay?
81920	88040	So this here is the low of the day. So if I mark this out, this is the low L, okay?
88760	94960	Now this is considered as liquidity as well because this is actually the low of the day before the new
94960	100960	Ex session before the 9 30 period starts. Okay, so you wait for price to once you have identified the
101960	105000	The law of the day, which is actually this candle
105480	110680	Surprisingly, so we go to the one at a time frame and we will look for a liquidity sweep and if I play this through
110680	115720	We have the liquidity sweep now. We wait for market structure shift and if we play this through
115720	121240	We got this beautiful move. Oh, sorry. It was nothing
122520	127320	So if I play this through I think we got the market structure shift right around here
128040	130040	Boom boom boom right?
130360	133720	This is a break-off structure as well, but there's no fair value gap
133720	140720	So when there's no further gap you can go down to the go up to the two minute time frame and you can look for your entry as well
141320	143320	There's some favorable gap here
144280	149680	All right, so let's see if you get our entry from here and we do not so when you do not get your entry
149680	152880	you look for another market structure shift which happens right around here and
153720	156960	You take your entry from this fair value gap
157880	159640	right very simple
159640	161640	you take your entry and
161640	167000	As you can see now, I'm taking my entry from the very first favorite gap that was created as I explained before
167000	168960	So there's also some favorable gap around here
168960	172920	So I will put my stop loss right above right below this level just to be on the safe side
172920	177560	Because prices come down to this really gap and it can go up from there
177640	183920	So make sure you are cautious about that. So now where would you want to be taking your profit levels now?
183920	186480	There's some there's a high over around here
186480	190800	So I will take some partials here and then I will take some partials in and I will
191600	194800	There's some favorable gap around this level. So this would be my
197640	199640	Trade and let's see how this plays out
200640	202400	and
202400	204400	Kaboom
205320	211040	Yep, sorry for that that was a car outside my home, but anyways as you can see it hit the
212040	213800	The take profit level
213800	218760	You might have gone stop that break even here, but it just really depends on you how you trade
218760	220760	What's your risk management plan?
220760	226080	But anyways as you can see there was a sharp movement and as you can also see is
226960	228960	we before
229120	235320	We broke the structure with momentum. You can see this one two three candle. They have huge volume
235320	237320	So this is what you should be looking for. Okay
238120	242840	And then we had this beautiful fair value gap we filled this fair value gap and then we went up
243360	247280	Very simple guys. I'm gonna give you guys one more example and I'll end this lecture
