start	end	text
0	6800	Alright guys, so in this video, I will go over the four hour auto block trading
6800	12600	strategy in detail. I have uploaded a couple of videos on this topic on
12600	21240	YouTube, but in this video I will explain it in detail. Okay, so basically it is an
21240	27240	auto flow trading strategy, but it is a bit unique to the normal traditional
27240	34680	auto flow, you know, trading strategy. Okay, so this is how we look at it. So
34680	44760	number one thing is look at the auto flow on four hour time frame. Now, when you
44760	49600	open the charts, let's say you open your USD, okay, you don't want to go back. What
49600	55200	do you see at the current like price, right? What are you seeing? Are you seeing
55240	60120	price going up, creating higher highs, higher lows, higher highs. If you see
60120	67240	like three higher highs like that, the trend is bullish. Okay, and if you see
67240	71640	like a market structure shift and then a break of structure like that, then that
71640	80080	could be your shift in the market structure or a reversal. Okay, preferably I
80080	83080	would like to see another break of structure like that. So three break of
83080	87040	like one break of structure and two break of structures like that. And that
87040	95440	would be my trend reversal specifically for this strategy. Okay, so now that you
95440	101120	know that let's say that you know that the auto flow is bullish. Okay, so in real
101120	104920	markets, this is not gonna look like this. It's not gonna be that clean. It's gonna
104920	111240	look something like, you know, something like that, and then you're gonna have this
111280	116120	and then you're gonna have something like that. Yeah, so you're gonna be
116120	120960	making, you're gonna see price making higher highs, higher lows, higher highs,
120960	128160	like that. Cool. So now my point here is the second point here is you have to
128160	134440	mark out every single auto block. So remember the auto block video that I
134440	140120	thought like before, like auto block 2.0, right? You want to mark out every single
140360	146160	auto block. But when you are, remember this thing, okay, for this strategy, when
146160	149080	you are looking at the higher timeframe, so we are currently looking at the
149080	154440	higher timeframe, right? So let's say that this down move is consecutive
154480	159800	bearish candles. So 123 bearish candles. Okay, when you're looking at the higher
159800	164200	timeframe, which is the four hour, you want to refine it. Okay, so let's say
164200	168480	there are three candles in this leg here, you want to mark out the body of the
168560	174560	last candle here. Okay, so in the auto block 2.0, remember we use the body of
174560	177960	the candle. So you have three bearish candles, 123, that is a whole auto
177960	182360	block. But we refine it, we are going to refine it. Okay, we refine it and this is
182360	187680	the candle. So not what we are gonna wait for is price to come back into our
187680	195720	auto block. Once that happens, we drop down to 15 minute timeframe. Okay, so you
196680	207600	mark out, oops, mark out OB, near price action. Okay, wait for price to come
207640	214960	back into your OB, look for market structure shift during kill zone ours,
215360	223360	and entry during kill zone ours as well. Okay, so you wait for price to come
223360	229600	back into your auto block. Okay, so once that happens, you drop down to 15
229600	234360	minutes timeframe, you look for market structure shift during kill zone ours.
234360	239960	Now, when you're at 15 minute timeframe, so we are only using like two time
239960	243640	frames for the strategy for our and 15 minutes, we're not going to use any
243640	248040	other timeframe. Okay, for our and 15 minutes. So now that you have a market
248040	252320	structure shift on 15 minute timeframe, now you have to use the consecutive
252320	257480	bearish candles as your auto block. And remember this one thing, a lot of
257480	261960	people don't get this right. So if you have something like this, price did not
261960	266800	take out the low here and then you have, let's say a maybe a break of structure
266800	270520	here, there was some structure here in price broke it. That is a low probability
270520	275200	setup. I want my auto block to take out some sort of liquidity. So these are
275200	280080	the consecutive bearish candles, right? It if it takes out some form of liquidity
280080	284440	could be just be a like a little low here, right? It takes out and then you
284440	289400	have a market structure shift. Now that guys, that is a high probability
289400	293640	auto block. And let's say that there is a breaker block here as well, right? So,
293640	297800	you know, you know, the definition of breaker blocks, right? The first candle
297800	303240	of this here. And the first candle and the first first candle is like the of
303240	306960	this leg, right? So this leg right here, the first one of this leg and the first
307000	312280	candle of the auto block are in alignment with each other. The size is the same
312280	320800	here. Okay. So you mark out this level right here, right? This is consecutive
320800	326180	bearish candles on 15 minute. Okay, you take your entry right there and you
326180	332160	target one to two. You go for one to two for this trading strategy, guys. Okay,
332160	336800	and you're going to you're going to have above 58 to 60% wind rate with this
336800	340760	strategy. Okay, I'm not going to say you're going to have like a 70% or 80%
340760	345920	wind rate. You're going to have 58 to 60% wind rate. You are going to easily
345920	349520	pass your FTM or challenges or prop from challenges. If you follow the
349520	354920	strategy correctly, remember this works with every single pair. I do not try
354920	359000	this with indices. I will recommend you do not try this with indices. You can
359000	364400	back test it, but the thing is try with forex. Okay, every single pair here,
364400	373160	except these, these ones. Okay, just use these main ones. So here's the risk
373160	377520	management for this strategy. Okay, so once you once the price hits one to one
377520	380760	risk to reward, let's say price hits one to one risk to reward, you move your
380760	386240	stop loss to break even. And then you keep the trade open till one to two is
386280	391960	hit. That way it is like the least, you know, anxiety free like I would say
391960	398200	it's the anxiety free hitting strategy guys. It's it's quite rule based and one
398200	403640	more thing. So let's let's do this. Okay, boom, boom, boom. So let's say the trend
403640	410040	is bullish, right? This strategy does not require break of structure for the
