start	end	text
0	11320	All right, guys, so now we are at the very most important part of this course.
11320	16880	So in this part of the course, we are going to learn different strategies that you can
16880	18120	use.
18120	22880	I will recommend that you stick to one trading strategy, all right, you don't want to use
22880	26360	different strategies and master that strategy.
26360	38520	So in this video, in this video, we are going to learn order flow trading strategy, okay?
38520	40880	So what is an order flow trading strategy?
40880	44520	Basically it is what we have learned so far.
44520	54200	We use everything together to take our trades, market structure break, market structure shift,
54200	60600	liquidity, auto blog, premium discounted zone, imbalances.
60600	71960	We use each and everything together to give the best possible probability rate, okay?
71960	77320	So I'm going to give you a few examples, what is auto flow trading strategy?
77320	79200	Basically everything that we have learned so far.
79200	85440	So in this video, in this particular example, we're going to talk about market structure
85440	90400	shift, how you can take advantage of market structure shift, okay?
90400	92920	So as you can see, we saw it push up.
92920	100760	So we create a higher high, higher low, higher high, and then we break this level, which
100760	111400	is what, market structure shift, okay?
111400	119160	Now you want to draw out your Fibonacci, sorry, my bad, from the very top to the very low,
119160	120240	okay?
120240	126360	And now you want to take your entry from the most extreme zone, okay?
126360	131120	The most extreme imbalance or more extreme auto blog.
131120	139520	Now as you can see, there was some imbalance at around this level too, but you would have
139520	151320	gotten a more accurate entry from this imbalance, which is at the extreme, okay?
151320	158280	And you can also see there price created liquidity, okay?
158280	161040	Let me remove Fibonacci so it's clear.
161040	168240	So now liquidity comes in all shapes and forms, all retail trading patterns, everything, okay?
168240	170820	So this is a trend line, right?
170820	177200	And this is basically liquidity, as you can see, oops, by that, okay, there you go.
177200	179760	So this is liquidity.
179760	187640	And then we had an imbalance above that liquidity and price filled the fair value gap, okay?
187640	192040	And then it just dropped down heavily, holy crap, okay?
192040	197200	So you can see how massive that move was.
197200	205280	So this was an example for market structure shift, how you can take advantage of it, okay?
