start	end	text
0	1520	All right, so here is example number one.
1520	6040	As you can see, the ancient session starts here,
6040	9040	and it ends here, okay?
9040	13040	So you mark out POIs.
13040	16520	So I do not see any POI here, okay?
16520	19920	You don't wanna go way for back and then look for POI.
19920	23400	Just look for POIs near this price action, okay?
25160	29200	So right here, what I can see,
30000	35000	is this autoblock, this candle, okay?
35000	39000	You can see it's a clear autoblock with free value gap, okay?
39000	42000	I could use this as well, this candle here.
42000	46000	So let's use that and consider this week as well.
46000	48000	So now what we're gonna do is we're gonna wait for price
48000	52000	to tap into our autoblock, which happens right here, okay?
52000	57000	Let's go to the one minute timeframe again.
57000	60000	And let's look for market structure shift.
60000	62000	It happens right here.
62000	66000	So now the free value gap is way, way too big.
66000	69000	So in this scenario, I would have used a breaker block,
69000	73000	which is right here, lower low, lower high, lower low.
73000	77000	This is the last bullish candle before the move to the downside.
77000	81000	Remember, so I would take my entry from here,
81000	84000	put my stop right below somewhere around here
84000	87000	to cover the free value gap, BPR, and the body
87000	89000	of the autoblock here.
89000	94000	6.7 stop loss, and we target something like
94000	96000	this free value gap right here.
96000	101000	So you're gonna see price taps into our breaker block,
101000	104000	and we have a push to the upside.
114000	119000	So yeah, that was a clean 3R or 2R.
119000	122000	We targeted this free value gap right here,
122000	125000	and yeah, it worked out perfectly.
125000	128000	So let me give you guys another example.
