start	end	text
0	5040	All right guys, so here's the example for the reactionary block trading strategy. So
6080	12240	you can see we had this sweep, right? And then then we had a change of corrector or
13120	18640	market structure shift, whatever you want to call it. And then you had this
20080	29120	auto block right around here and some imbalance around here, right? So usually in this case,
29120	36080	I would just mark out this candle as well. And as you can see, when price reacted from this level,
37040	48000	it created an impulsive move and left imbalance and auto block just as I explained. So you want
48000	56480	to take your entry from here. There you go. I want to put your stop right up there.
57440	66080	And that was a beautiful trade. There you go, your 10 wrist reward trade right here. Very simple guys.
68000	75040	So this is basically it guys. You just want to, if you want a confirmation entry. Now,
75840	81200	in most of the time, you might miss out the trade, okay, just because you didn't confirm it.
81920	89840	But the thing is that with confirmation entries, your win rate is going to increase dramatically.
89840	97840	All right. So I would say just go with this. I mean, there are so many strategies that I have
97840	103520	uploaded. You only need to master one of those. Okay, you don't want to master each and every
103520	109360	trading strategy. Just find one didn't strategy, just choose one trading strategy and stick to it.
109360	116640	Just keep on backtesting it. Okay, just build that confidence. And that's pretty much it for
116640	123360	this trading strategy. As you can see, I want to show you more examples, but I really want to move
123360	130560	to the ABCD strategy because it is a great one as well. And this one is relatively, I hope you're
130560	136320	clear by now. I don't think you want more examples. It's just that you just want to see a reaction
136320	143920	from that auto block or fair value gap that creates the simple smooth, creates fair value gap.
144640	153600	And then you take your entry from here. That's pretty much it. So I do hope that you
153600	160480	like this strategy as well. It's a very good one. So yeah, guys, see you.
