start	end	text
0	8240	Okay, so as you can see price was trading lower low lower high lower low lower low lower low lower high
10000	15920	lower low and then price broke the market structure okay right around here you can see
17840	26880	price broke this level i will mark it as market structure shift very simple all right
26960	31920	and then you want to draw your Fibonacci from the very bottom to the top of that move
33760	41360	where is your discounted zone below the 50 percent level okay now you can see there is no imbalance
41360	50400	here so we will not consider this but then there is imbalance right around this area so you can see
51280	64320	okay perfect but then in this case scenario you can see price respected this autoblock right
64320	72080	around here so let me go and remove this you could have entered from this autoblock put your
72080	78000	long position here your stopless right below that autoblock and you would have captured a very
78000	89120	nice move okay so this is an example for a buy position and before taking the buy position
89840	96320	of course you want to identify liquidity okay so you can see we got liquidity right around here
97120	113600	there you go perfect okay so now it could either be this you can see all right so there was like a
113600	120880	lot of liquidity here so yeah you took that into consideration consideration and then you entered
120880	128240	right off that autoblock and you can see that huge huge move okay very simple guys so now i will
128240	141520	give you examples for market structure break the continuation of the trend
