start	end	text
0	5600	All right guys in this video we in this lecture you could say we are going to learn about
6240	15200	SMT divergence and how you can trade with SMT divergence or you could you know add SMT
15200	22400	divergence in other trading strategies as a confluence okay so we're going to trade SMT
22480	33920	divergence or you could say smart money technique divergence all right this is a very very powerful
33920	40800	tool that you can use and it's going to increase your wind rate by a lot you know you can use it as
40800	46560	as a single strategy by by its own like you could use this single thing by its own and you
47120	52880	you will be shocked right or you could add this as a confluence with other strategies and it's
52880	61600	going to work perfectly fine as well so what is an SMT or sorry SMT divergence or you could say
61600	69600	smart money technique divergence so for this strategy you need two or three correlated pairs
69600	79600	okay the pairs or assets or instruments that have similar movements they have correlation
79600	89680	between each other right so for example Bitcoin right BTC and Ethereum they have similar movements
89680	95040	right if Bitcoin is going up Ethereum should be going up as well if Bitcoin is going down
95120	108640	Ethereum should be going down then we have NAS100 S and P500 and US30 right so these three pairs
108640	118160	have similar movement as well now for Forex you could use you know your USD GBP USD
118720	134000	AUD USD with dollar index DXY right sorry USDX now what is DXY it is a you know dollar index
135200	142480	it shows the strength of a dollar right so so you can use like Bitcoin and Ethereum they have
142560	151920	correlation NAS100 S and P500 and US30 you can use your USD GBP USD AUD USD with right so you
151920	160240	don't want to use your USD GBP USD right together you don't want to use your USD GBP USD or AUD USD
160240	171840	together you want to use one of these with DXY dollar index okay and yeah you can just simply
171840	179360	trade with these instruments and pairs and assets so let's talk about what SMT divergence
179840	184480	is in detail okay so let's assume that
192800	194240	let me draw this out first
195040	212160	right so this right here let's assume that this is S and P500 okay
212960	226960	okay and this is NAS100 cool so notice this right on SMP 500 we have higher high high low
226960	238720	higher high high high high right on NAS100 we have higher high high high low higher high high low
239280	246960	and then NAS100 fails to create another higher high so I would repeat it again on SMP 500 we have
246960	255520	higher high high low higher high high high high and on NAS100 we have higher high high high low
255520	264720	higher high high low and then NAS100 failed to create a higher high whereas SMP managed to create
264800	268400	another higher high so what does this tell us
271200	278480	this right here for me personally is a liquidity sweep right this right here why
278480	285600	because on NAS100 price couldn't make a higher high what does that tell me it tells me that the
285600	291440	autoflow has shifted into a bearish trend and this right here is a liquidity sweep
292080	302080	all right why because NAS100 could not make another higher high but this SMP 500 did actually
