start	end	text
0	4040	Gus, so here is example for an invalid market structure shift.
4040	7680	So you can see we created this higher, high, high, low, higher, high.
8160	12400	And for me to look for a market structure shift, I want to see this structure broken.
12800	17160	But you can see that when price came near this level, we consolidate it.
17400	22000	Then we came back, touched this line, did not break it, then went back up,
22280	26960	then broke it with only a single candle. Then we had a bullish candle.
27080	30320	So this, there is no momentum in this move, guys.
30320	33320	If there was momentum, I would see something like this, right?
33640	39160	And the fact that the price is consolidating just near this level
39680	43040	gives me a sign that this is not a vetted market structure shift.
43240	48080	And as you can see, we have these candles, we have this consolidation area.
48360	51800	So for me, this is not a valid market structure shift.
51800	54400	And if you took your entry from this auto block right here,
54680	58880	you can see price just pierced through it and it just went back up.
59640	65680	So you, you can notice that there was no volume in this, um,
66680	71440	in this level, right? We had consolidation, we went back to this level.
71680	75280	We did not break it. We just, we just reacted off it.
75280	79360	We couldn't go below this level for two candles on a 15 minute time for him.
79560	83400	So this shows you that there might not be enough volume.
83640	87880	And it could just be, you know, a trap for smart money traders.
88080	92680	And it can, one candle can close below this level, giving you a sign that maybe
92720	97360	this is a market structure shift, but when you take your entry, you are going to
97360	100200	lose. So I hope that is clear.
101000	104320	I'll see you guys in the next video with another topic.
