start	end	text
0	3280	Hey, everybody. Hope you're doing well in this chapter
3280	7680	I will be teaching you the most mechanical gold training strategy. So
8320	15480	Previously, I made a video on gold and it was only for the people who could trade the Asian session, right?
15880	21640	But this one is gonna work in London session and I've been getting a lot of requests
21640	28040	So this chapter of this course is gonna explain each and everything about the strategy
28120	35280	So make sure you watch till the end so you don't miss anything. Now my goal always has been to
35880	42440	You simplify trading. All right, I don't want you guys to be looking for daily buyers and doing these top-down analysis
42720	47760	Yes, of course they they have a little bit of advantage over mechanical strategies
48040	50920	But this strategy that about to teach you right now
51400	57200	Bro, trust me. It works every single day like there is no day that it won't work
58080	63920	Alright, so what exactly is the strategy, right? So we know that the
64520	69840	London session starts at 3 a.m. New York time. All right, so let's assume that this is the
70520	73240	London session open right now
73680	77720	All you have to do is go to the 15 minute time frame
78480	79960	right and
79960	85680	The very first forever you got that forms during the London session. So this is the London open
85960	91880	You are basically waiting for price to create some form of a fair valley gap the very first
91880	96000	Fair valley gap that forms during the London session. Remember that
97080	103160	So let's assume that we have this fair valley gap formed around here
103680	110400	All right, so all I'm actually waiting for is to price for the price to inverse it and
110760	113440	What I mean by this is I want the price
114120	116120	to close below it
116960	123600	Okay, so the entire strategy is basically how this is how it goes. So during London
124720	126720	Mark out
127440	134400	The first a fidget that forms and then wait for it to get in first
135040	137840	All right, so remember this now
138680	143020	All you are waiting for to do from here onwards when the fair valley gap gets
143160	147960	Inversed is you are taking your entry on the retest you're going for one to two and
148800	152000	you are targeting some form of liquidity, right and
153600	160080	Basically you're putting your stop above the bodies. So this is your entry. So let's suppose that this is weak
160080	165840	Right. So this part of this price is the wake, but then over here are the bodies
165920	169760	So you're gonna put your stop here not above the wick but above the bodies
171440	177000	Literally, this is literally it's gonna work every single day guys. All right now
178080	182600	It works for forex as well, but there are some other methods for it
182600	185640	I'm gonna teach that in the upcoming chapters
185880	193520	But for now, this is the best goal strategy for the London session, right and similarly if you look at it here
193520	197720	You know, we have this London open here at three, right?
197720	201960	And I'm gonna give you guys some examples. So don't worry. I'm gonna explain all of the other things as well
202560	209320	You can see that we have the fresh privilege gap that forms right the very first. All right, you have to put entire focus on that
209320	211320	fair valley gap and
211320	213320	Then you can see that whenever price
213760	216960	Inverses it is when you take your entry from the retest
217480	222520	All right, so what is a high probability setup in this for this strategy, right?
222840	224200	so
224200	230640	Let's assume that price created some form of liquidity before going into London open and
231760	238360	We create a fair valley gap the very first fair valley gap that forms during the London session. All right
238840	245680	And you have these equal highs liquidity level somewhere around here. Now. This is the high probability
246160	253240	Setup so when price inverses that fresh valley gap you can actually take you into your own the retest or on the body closure
253240	257400	So if the body closes slightly above it, then you can take your entry
257920	258680	straight away
258680	260680	but if it's gone way far up ahead and
261320	268280	You know, you think that your stop was gonna be big then you take your entry from the retest put your stop below the bodies
268280	272360	And then you can target easily target these equal highs over here
273440	275440	now, what if the
275840	279600	liquidity is swept before you get your entry, right and
280000	285120	This is what's gonna make the setup low probability because we have already reached our target
285320	291320	But rest assured even if the liquidity is swept there might be some high time from liquidity resting above here
291520	298680	That the price will take out all you need to do is just look for the very first fair valley gap that forms during the London session
298680	303480	And then you're waiting for it to get in versed and then you're looking to take your entry from the retest or
303480	307480	Or or or you know, just entering straight away now
307480	311240	Do you think to note is that if there is some form of news, right?
311440	317520	You just want to avoid that setup and wait till 15 minutes pass right after news
317520	323120	You do not want to trade before news because what's gonna happen is price is gonna do something like this, right?
323120	327940	It's gonna just mess up everything. So you want to avoid the high impact news
328940	333780	So by now this should be clean perfectly clean, right?
333780	339900	now there is another way to to improve the windward and that is by marking some form of high time from PDRA and
340060	345780	Price dips into that PDRA and then it reverses the first really gap that prompt, right?
345780	349540	Or it's simply just swept some form of liquidity here, right?
349540	355100	And once it's swept sweeps that and inverses the very first fair valley gap of the London session
355140	361500	Then you can take your entry this setup is insanely powerful guys, and I'm gonna give you guys some examples now
361940	366940	And you are going to thank me before I move to the examples if you're watching this on YouTube
366940	371140	I want to let you know that my new course is coming out very soon
371140	377500	So if you want free access to my course, you have to enroll into my current course right now
377820	383020	Otherwise if you don't do it and the new course releases is gonna be priced at a different level
383020	389900	But now if you enroll into my current course, you can actually get the entire access to my discord where I have the course videos
389900	393460	We're absolutely free. So let's move on to the examples now
394180	395020	All right guys
395020	400540	So here is example one and we're waiting for the London Open and at 3 a.m. We have the London Open
400540	403180	so we now we are waiting for a fair valley gap formation and
404140	410540	Straight away. What do we have we have a fairly gap that formed around here? So now we're waiting for price to inverse it
411420	415980	Right and you can see we also set some form of liquidity here
416700	419300	so now we're waiting for price to inverse and
420140	426380	Right away. We have the inversion. So I'm gonna take my entry on the retest. I'm gonna put my stop right below these bodies
426380	428860	not below the wake but below the body and
430300	432460	Probably we can target one to two here
433580	439500	And I can leave some runners till here, but I usually go for one to two and that's it
441020	443500	So you can see we get our entry on the retest
445500	451580	And the take profit level was hit and then price, you know, eventually it went up to that
453020	455020	liquidity level and it took it out
455580	462620	Although I would always go for one to two and you can see how price just went up ahead and reacted from this auto block here
463180	466540	Push down below. Well, if you had your stop below the wake then
467340	473420	Maybe you could have but you would still be close at break even so it's best to always take your profit at one to two
474220	479980	Let me give you guys some more examples. All right guys. So here is example two and this is the london open
480140	482140	so I'm waiting for a fairly gap formation
483420	484620	and
484620	491180	Just around here we have the very first fairly gap of the london session. So the london session is from 3am to 7am, right?
492140	494140	So I'm waiting for price to inverse it
494700	500860	And right away, but do we have we have inverse it and we have these equal highs resting around this area
501340	505180	And we have also swept some form of liquidity here. So
507020	509820	I'm just gonna long here put my stop below the body here
510460	516860	And I can go for one to two. I don't care. All right. I'm just gonna go break even at one to one. So I'm risk-free
518620	520620	So
521500	523500	Let's zoom what happened here
524940	532940	You can see that at this point I would go break even right but since one to one. Yeah, so I'm just gonna hold till one to two
536140	539420	And eventually it goes up ahead and takes out
540460	542460	This high over here as well
542940	550140	So you can see how we inverse the very first fairly gap and we had these liquidity resting above here
550620	555100	It is not necessary these two steps, right the liquidity sweep and the
556300	558540	The resting liquidity is not necessary, but
559740	563660	It's gonna improve the win rate always always gonna always improve the win rate
563980	566540	But if you want to keep things as mechanical as possible
566860	570860	Just wait for the first fairly gap to get inverse and take your entry bro. It's
571660	575900	It's really really not that hot and if I go just around here you can see
576620	577660	that
577660	581980	We have this fairly gap the very first probably gap that formed during the london
583660	585660	And notice what happened we had
587180	590300	This liquidity level resting around here, right?
590780	593980	And we swept this liquidity here and then we
594540	597740	Inversed the fairly gap the first fairly gap of the london session
598540	602300	short position right here stop right above the bodies here and
602940	605420	A beautiful one to two risk to reward
605980	611100	Right away. So two examples in one clip. Let me give you guys some more examples
611500	616620	All right guys. So here is another example and we have the london open here. So I'm waiting for a fairly gap formation
618060	623660	And we do have it around here. So notice two things now we have swept
625500	628700	This liquidity these relative equal highs over here
629660	631660	Right
631660	639100	We also swept this high over here. That's perfect and we have these equal lows resting around this level
639980	646060	So what does this directly tell you that we're going to inverse it and then we're going to push down like crazily
646860	648700	All right
648700	655980	So right away. What do we have? We have an inversion entry on the retest stops above the bodies of the highest wick
656380	658380	So this is the highest wick
658380	661820	The bodies. All right, because if price goes here
662940	666700	There's 99 percent chance gonna take out this level. So just don't bother
668220	670700	And one to two. So let's see how this plays out
671740	673740	We get our retest
675500	682300	And we push down and the take profit was hit notice how the bodies were respected inside this inversion
683500	687020	All right, this is all algorithm bro. Like it's it's it's it's
687500	690300	Insane how well this shit works
691020	693020	All right. So over here
693900	697420	You can see bro. It just happens every single day
697980	702620	So this is the London session start right no further gap no further gap and then
703340	708300	Out of nowhere. We have a fairly gap. We sweep the liquidity here, right
709180	712700	And we have this insane amount of liquidity resting here
713740	716300	Right and you can just see how well
717180	718780	It works. So
718780	719980	inversion
719980	724620	Entry on the retest or actually I would enter here because it's just way close way too close
725660	729740	And my stop you can see this is the highest wick some I would put it somewhere around here
731500	732860	And wow
732860	734700	Insane guys, it's just
735820	738380	It's incredible how well it works. All right
739180	745180	All right guys. So here is the last example and this is the London open. So we're waiting for a fairly gap formation
746060	747420	And right away
747420	751820	We have the very first fairly gap that forms during the London session and over here
751820	755740	You can see we have equal highs and those were swept as well
756300	760700	And then we have this London sorry Asian low as I withdraw on liquidity
762540	766060	And you can also see we tapped into this volume imbalance here
766300	769820	So there are just so many confluences telling you to shot this bro
770380	773900	And then we have the inversion here, right and on the retest
774780	775980	You can see
775980	777980	Straight away
777980	784540	Stopped right above the bodies, but since the wick is not that big. I can actually put it here. It's no problem. All right
786140	788140	I would go for one to two
788620	790620	But let's see how this plays out. So we got our entry
791740	794140	And price just melted
794940	797500	All right. So the key thing to note here is guys
798380	802140	If if you really want this model to work every single way number one
803100	805100	Look
805260	807260	For liquidity sweep
809260	811260	All right
811260	813900	This is key because you know, it's not like
814700	822300	Necessary, but as I showed I showed you so many examples where price strips some form of significant liquidity equal highs equal lows
822940	824940	And then the push is insane
825180	827420	Right. So look for liquidity sweep, right?
828060	832140	And or price goes into some form of key level here and then
833820	839420	Clear draw on liquidity, right? You have clear draw on liquidity in this example. We had this
841660	848940	Lr Lr something and I don't want to use complicated words. It's just liquidity bro. All right, trendline liquidity. What I want to call it
849980	853020	Clear draw liquidity and then you are waiting for the first
854620	856620	inversion of
857820	861500	First for the furbity gap that forms in london
862940	864940	This is literally
865500	871180	Your bread and butter guys like it works so well that you have no idea
872140	874780	All right. Now some days what's going to happen is
875820	877820	So let me just show you here. Okay
878780	885900	Actually, we inverse this here as well. This was a tiny little furbity gap and you can see that we formed it at three, right?
886380	888380	so
888380	894220	Sometimes the furbity gap is going to format exactly at three. So the the second candle
894780	901180	If it's at three then it's acceptable. However, if the second candle is at two forty five
901580	907340	So furbity gap is off three candles, right? One two three. Now. I want the second candle
907980	911180	To be at three am exact. This should be the one
911580	912300	All right
912300	915020	If it doesn't form here, then I'm looking for another furbity gap to form
915420	918060	But since what people would do is they would consider this
918620	922780	As the first furbity gap and I do not want to see this. All right
923340	929820	Why? Because the second candle formed at two forty five. So this is not the furbity gap that formed in the london. However
930540	932460	This one right here
932460	934940	It formed right during london
936300	937420	So
937420	938940	Yeah guys um
938940	944860	This is practically the entire model and you can see that we had this inverse furbity gap here as well
945260	949020	And price is dip below it bro. Uh, let me show you guys a losing
950220	952220	Trade hopefully I can find it
953180	955580	So we inverse the first furbity gap here
957100	960700	Oh my god, bro. I'm just gonna end the video when I find a losing
964060	966460	The losing trade. This is the first furbity gap
969580	971580	Oh my god inverse and it just went up
972540	975340	There's there is there any furbity gap
976540	978540	There's no furbity gap bro
979020	981020	So you just simply skip the day
981820	984860	This is the first furbity gap body didn't close no inversion
987660	991020	Dude, there's not a single losing trade bro
993020	999260	Come on. I gotta find one losing trade bro. Oh my god. There's another inverse. Look at it. Look at it
1000220	1005100	Oh my god. This this isn't saying please. Please. Please. I need to find a losing trade
1005260	1007580	Otherwise, I won't be able to end the video
1009020	1014140	Okay, this is some form of a losing. I don't know. I just I just want a losing trade, bro
1015340	1019900	Even though it was way late in the london and this is the first furbity gap that formed
1020780	1025340	No, this is not a this is not a good losing trade. I want to see a better losing trade
1026140	1027580	Oh my god
1027580	1030460	Wow, dude dude dude guys guys. I'm telling you
1031100	1035340	Okay, this shit is insane. Look at this. All right
1036540	1041180	There's no losing trade bro. Hopefully here hopefully hopefully hopefully hopefully
1042860	1044860	Ah
