start	end	text
0	7560	All right, guys, so in this very first example, we're going to talk about monthly bias.
7560	11960	And if you see these arrows here, that is basically fractals.
11960	15120	It tells you the correct highs and lows.
15120	20040	So you don't, you know, like take a wrong low for a market structure shift or a long
20040	21760	higher low for external degree.
21760	25760	So you can just go to indicator shares, type in fractals, right?
25760	28560	And you want to use the fractals by Rachel T.
28560	30200	So these are my colors.
30200	36620	I use black and this green over here, it makes it clean, okay?
36620	41760	So now on the monthly timeframe, what I can see here is price has taken out a fixed external
41760	42920	liquidity, right?
42920	47520	Remember, every single high or low is an external liquidity.
47520	52480	And what do we have below this over here?
52480	53480	You are right.
53480	56880	We have the internal liquidity, which is the fair value gap.
56880	57880	Cool.
57880	62880	We have taken out the external liquidity here, what we want to do, remember for monthly
62880	66920	for bias, we want to drop from monthly to daily timeframe.
66920	75080	Now once we drop down to the daily timeframe, you can see right here this, if you didn't
75080	79480	have the fractals on, you would have considered this as your shift in the structure, which
79480	83800	is, you know, so anyways, this is our low here.
83800	89480	We want to see a bridge of this low.
89480	95120	And right here, you can see we have a market structure shift, right?
95120	97920	So now what do you see here?
97920	99480	We have taken out external.
99480	105600	So this is the fair value gap that we should look to target, okay?
105600	110720	I mean, when you are on the daily timeframe, of course, but we're talking about monthly.
110720	115760	So now when we have the market structure shift here, we can simply take our entry from
115760	118520	this fair value gap, okay?
118520	122840	Or this fair value gap, but remember our target is this level.
122840	128280	So you can simply just go short right here, put your stop right above this high and go
128280	132600	for one, just target this level, okay?
132600	137160	So now once you get the marketer shift, your monthly bias is here, okay?
137160	143040	So just you are, you're going to be like confident, you can be taking trades until
143040	147480	this level is hit, but of course on the daily and the one hour timeframe.
147480	149960	But for now, let's see how this plays out.
149960	154480	The simple bread and butter model, we have our entry here.
154480	158840	And that is basically for swing traders, okay?
158840	164080	So right here, you can see that beautiful price delivery, we took out the monthly extended
164160	166240	liquidity here, right?
166240	172280	And we went up and we then had a market structure shift right here.
172280	176560	And this is the fair value gap in the premium.
176560	182160	We take a trade here and we just drop down below.
182160	186040	Very simple.
186040	192400	But you could have taken trades with a high risk reward ratio on the one hour timeframe,
192400	194960	but I will get to that later, okay?
194960	200120	Just remember that once you get a market structure shift, your bias is set, okay?
200120	206920	When body closes, that's like you're, okay, we are bearish till this level is taken up.
206920	213040	So let me give you guys an example for the weekly bias now.
