start	end	text
0	3480	Okay, here's another example of how you can create
3480	8000	market structure shifts using the autofold training strategy.
8000	13000	So you can see that we were making hard, high,
15120	18200	hard, low, hard, high, high, low, hard, high,
18200	23200	and then we made this move, which broke this level.
25240	29640	Okay, there you go, it broke this level, this low.
29640	33880	Okay, high, high, low, high, high, high, high, high, high,
33880	36800	and then price broke this higher low.
36800	41800	So that is considered to be as market structure shift.
46600	49960	And then what you wanna do, remember,
49960	52500	you wanna draw your Fibonacci tool, not necessarily,
52500	56920	but if you just want to see where are the zones, right?
56920	58840	You wanna draw out the Fibonacci
58840	62120	from the top to the bottom,
62120	65680	and then you wanna choose the extreme zone, okay?
65680	70680	So as you can see, we got an autoblock
73080	75080	right around here.
75080	76120	What are autoblocks?
76120	78240	The first candle that create imbalance,
78240	80200	you can see first, second, third,
80200	81740	there's some gap here as well.
82560	86980	And basically, you do not, okay, so yeah,
86980	89500	so basically you can see you would have entered
90540	92820	right around here, put your stop loss
92820	97820	right above that level, and kaboom, very easy guys.
99660	102940	And you would have taken your take profit at this level,
102940	105260	which is another liquidity pool.
105260	110260	And before price went up, you can see price created
110500	114380	these relative equal highs, okay?
114380	118620	This is liquidity, this is basically a resistance level.
118620	120660	If that makes sense, okay?
120660	123580	So make sure you identify liquidity
123580	125300	before taking these entries.
125300	128100	If there's no liquidity, you're going to lose, okay?
128100	130260	If there's no liquidity, what's probably gonna do,
130260	131940	it's just gonna go up.
131940	133700	It will not respect your level
133700	136900	because there's no reason for it to respect it, okay?
137740	141900	So you can see price broke the structure,
141900	144140	there was a market structure shift,
144140	147460	then price engineered liquidity,
147460	150220	and then it went all the way up to the extreme zone
150220	153980	of that move that broke the market structure.
153980	155700	If that makes sense.
155700	158820	So this was another example, how you can use each
158820	162060	and everything together to trade.
162060	164140	So I'll give you now examples
164140	167740	for the long positions.
